citta,coppia,origine,destinazione,margine_secondi,scadenza,strategia,probabilita,arrivo_programmato,cambi,coincide_con_robusto,ampiezza_frontiera,candidati,modello_ritardo
roma,2,76502,70302,1800,1787730291,robusto,0.5119713202971486,1787728491,2,True,0.3277666310524182,6,sintetico
roma,3,80217,70643,0,1787727390,piu_veloce,0.0011945573003817286,1787727390,2,True,,9,sintetico
roma,3,80217,70643,0,1787727390,meno_cambi,0.0,1787729191,1,False,,9,sintetico
roma,3,80217,70643,0,1787727390,margine_fisso,0.0,1787729191,1,False,,9,sintetico
roma,3,80217,70643,0,1787727390,robusto,0.0011945573003817286,1787727390,2,True,,9,sintetico
roma,3,80217,70643,300,1787727690,piu_veloce,0.059842606794422645,1787727390,2,False,0.634647125342017,9,sintetico
roma,3,80217,70643,300,1787727690,meno_cambi,0.0,1787729191,1,False,0.634647125342017,9,sintetico
roma,3,80217,70643,300,1787727690,margine_fisso,0.0,1787729191,1,False,0.634647125342017,9,sintetico
roma,3,80217,70643,300,1787727690,robusto,0.6944897321364396,1787727508,3,True,0.634647125342017,9,sintetico
roma,3,80217,70643,600,1787727990,piu_veloce,0.11439623910107012,1787727390,2,False,0.6342917600891274,9,sintetico
roma,3,80217,70643,600,1787727990,meno_cambi,0.0,1787729191,1,False,0.6342917600891274,9,sintetico
roma,3,80217,70643,600,1787727990,margine_fisso,0.0,1787729191,1,False,0.6342917600891274,9,sintetico
roma,3,80217,70643,600,1787727990,robusto,0.7486879991901975,1787727508,3,True,0.6342917600891274,9,sintetico
roma,3,80217,70643,900,1787728290,piu_veloce,0.13173034724073304,1787727390,2,False,0.6179452780412067,9,sintetico
roma,3,80217,70643,900,1787728290,meno_cambi,0.0,1787729191,1,False,0.6179452780412067,9,sintetico
roma,3,80217,70643,900,1787728290,margine_fisso,0.0,1787729191,1,False,0.6179452780412067,9,sintetico
roma,3,80217,70643,900,1787728290,robusto,0.7496756252819398,1787727508,3,True,0.6179452780412067,9,sintetico
roma,3,80217,70643,1200,1787728590,piu_veloce,0.29734289795341656,1787727390,2,False,0.7177227255950865,9,sintetico
roma,3,80217,70643,1200,1787728590,meno_cambi,0.0,1787729191,1,False,0.7177227255950865,9,sintetico
roma,3,80217,70643,1200,1787728590,margine_fisso,0.0,1787729191,1,False,0.7177227255950865,9,sintetico
roma,3,80217,70643,1200,1787728590,robusto,0.778787934898327,1787727508,3,True,0.7177227255950865,9,sintetico
roma,3,80217,70643,1800,1787729190,piu_veloce,0.7732710544822001,1787727390,2,False,0.6497005841144468,9,sintetico
roma,3,80217,70643,1800,1787729190,meno_cambi,0.101261213544801,1787729191,1,False,0.6497005841144468,9,sintetico
roma,3,80217,70643,1800,1787729190,margine_fisso,0.101261213544801,1787729191,1,False,0.6497005841144468,9,sintetico
