citta,finestra_minuti,ripetizione,eventi,archi,memoria_mb,secondi_costruzione
roma,15,1,120725,291306,7.313526153564453,0.903918
roma,15,2,120725,291306,7.313526153564453,0.908551
roma,15,3,120725,291306,7.313526153564453,0.845389
roma,30,1,134120,331149,7.9794158935546875,1.064023
roma,30,2,134120,331149,7.9794158935546875,1.057071
roma,30,3,134120,331149,7.9794158935546875,1.039434
roma,60,1,160611,410436,9.303356170654297,1.393731
roma,60,2,160611,410436,9.303356170654297,1.385992
roma,60,3,160611,410436,9.303356170654297,1.411034
roma,120,1,212788,566576,11.910980224609375,2.100587
roma,120,2,212788,566576,11.910980224609375,2.131448
roma,120,3,212788,566576,11.910980224609375,2.316675
roma,240,1,315000,871117,16.998367309570312,3.76999
roma,240,2,315000,871117,16.998367309570312,3.908448
roma,240,3,315000,871117,16.998367309570312,3.811398
torino,15,1,50548,125728,3.3813018798828125,0.392091
torino,15,2,50548,125728,3.3813018798828125,0.362229
torino,15,3,50548,125728,3.3813018798828125,0.355751
torino,30,1,55716,141550,3.6449432373046875,0.417105
torino,30,2,55716,141550,3.6449432373046875,0.40653
torino,30,3,55716,141550,3.6449432373046875,0.435341
torino,60,1,65455,171932,4.150768280029297,0.529856
torino,60,2,65455,171932,4.150768280029297,0.529092
torino,60,3,65455,171932,4.150768280029297,0.507895
torino,120,1,83121,227023,5.067935943603516,0.700038
torino,120,2,83121,227023,5.067935943603516,0.680663
torino,120,3,83121,227023,5.067935943603516,0.696533
torino,240,1,118263,330877,6.805278778076172,0.990072
torino,240,2,118263,330877,6.805278778076172,0.979639
torino,240,3,118263,330877,6.805278778076172,1.04987
