citta,coppia,origine,destinazione,variante,ammissibile,velocita_m_s,tipo_velocita,trovato,minuti_arrivo,cambi,espansi,secondi,ottimo,pareto_soluzioni
roma,43,72614,74855,astar_p999,False,15.344100046923574,p99.9,True,61.63333333333333,3.0,27899,0.9449847999999292,True,
roma,43,72614,74855,pareto,True,,nessuna,True,61.63333333333333,,146761,4.899818400000186,,10.0
roma,44,80494,74447,astar_ammissibile,True,82.54089895318562,massimo,True,102.2,4.0,110888,1.867073700000219,True,
roma,44,80494,74447,dijkstra,True,,nessuna,True,102.2,4.0,116103,1.426177600000301,True,
roma,44,80494,74447,astar_cambi_proiettati,True,82.54089895318562,massimo,True,102.2,4.0,29804,0.5397063000000344,True,
roma,44,80494,74447,astar_p999,False,15.344100046923574,p99.9,True,102.2,4.0,87817,1.6681892999999945,True,
roma,44,80494,74447,pareto,True,,nessuna,True,102.2,,153642,4.383112999999867,,3.0
roma,45,73806,75175,astar_ammissibile,True,82.54089895318562,massimo,True,69.56666666666666,4.0,45620,1.151078100000177,True,
roma,45,73806,75175,dijkstra,True,,nessuna,True,69.56666666666666,4.0,48996,0.8576275000000351,True,
roma,45,73806,75175,astar_cambi_proiettati,True,82.54089895318562,massimo,True,86.8,4.0,27394,0.4907419999999547,False,
roma,45,73806,75175,astar_p999,False,15.344100046923574,p99.9,True,69.56666666666666,4.0,33227,0.9820979999999508,True,
roma,45,73806,75175,pareto,True,,nessuna,True,69.56666666666666,,151105,5.062542900000153,,8.0
roma,46,74912,71075,astar_ammissibile,True,82.54089895318562,massimo,True,52.2,3.0,16376,0.6029899999998634,True,
roma,46,74912,71075,dijkstra,True,,nessuna,True,52.2,3.0,18319,0.35717449999992823,True,
roma,46,74912,71075,astar_cambi_proiettati,True,82.54089895318562,massimo,True,52.2,3.0,5843,0.24788070000022344,True,
roma,46,74912,71075,astar_p999,False,15.344100046923574,p99.9,True,52.2,3.0,9697,0.38723720000007233,True,
roma,46,74912,71075,pareto,True,,nessuna,True,52.2,,118177,2.9890440999997736,,13.0
roma,47,78173,74218,astar_ammissibile,True,82.54089895318562,massimo,False,,,158402,2.3848996000001534,,
roma,47,78173,74218,dijkstra,True,,nessuna,False,,,158402,1.6530804000003627,,
roma,47,78173,74218,astar_cambi_proiettati,True,82.54089895318562,massimo,False,,,47229,0.6182800999999927,,
roma,47,78173,74218,astar_p999,False,15.344100046923574,p99.9,False,,,158402,2.2645049000002473,,
roma,47,78173,74218,pareto,True,,nessuna,False,,,140404,4.480524399999922,,0.0
roma,48,83174,76205,astar_ammissibile,True,82.54089895318562,massimo,True,68.98333333333333,3.0,73130,1.781138700000156,True,
roma,48,83174,76205,dijkstra,True,,nessuna,True,68.98333333333333,3.0,76923,1.321346000000176,True,
roma,48,83174,76205,astar_cambi_proiettati,True,82.54089895318562,massimo,True,68.98333333333333,3.0,24253,0.44425890000002255,True,
roma,48,83174,76205,astar_p999,False,15.344100046923574,p99.9,True,68.98333333333333,3.0,57483,1.45513899999969,True,
roma,48,83174,76205,pareto,True,,nessuna,True,68.98333333333333,,168018,5.203150599999844,,7.0
roma,49,78864,76959,astar_ammissibile,True,82.54089895318562,massimo,True,110.6,4.0,80469,1.231178600000021,True,
roma,49,78864,76959,dijkstra,True,,nessuna,True,110.6,4.0,87282,0.9077182000000903,True,
roma,49,78864,76959,astar_cambi_proiettati,True,82.54089895318562,massimo,True,110.6,4.0,26783,0.3844061999998303,True,
roma,49,78864,76959,astar_p999,False,15.344100046923574,p99.9,True,110.6,4.0,54442,0.9692298999998457,True,
roma,49,78864,76959,pareto,True,,nessuna,True,110.6,,111919,3.179483800000071,,3.0
roma,50,70709,77078,astar_ammissibile,True,82.54089895318562,massimo,True,83.7,3.0,65914,1.3338760000001457,True,
roma,50,70709,77078,dijkstra,True,,nessuna,True,83.7,3.0,75713,0.9708579000002828,True,
roma,50,70709,77078,astar_cambi_proiettati,True,82.54089895318562,massimo,True,83.7,3.0,19559,0.3262260999999853,True,
roma,50,70709,77078,astar_p999,False,15.344100046923574,p99.9,True,83.7,3.0,32117,0.8215468999997029,True,
roma,50,70709,77078,pareto,True,,nessuna,True,83.7,,145099,3.8889288000000306,,1.0
torino,1,3176,3492,astar_ammissibile,True,139.12304705627398,massimo,True,56.88333333333333,4.0,23597,0.5755647999999383,True,
torino,1,3176,3492,dijkstra,True,,nessuna,True,56.88333333333333,4.0,24114,0.3663626999996268,True,
torino,1,3176,3492,astar_cambi_proiettati,True,139.12304705627398,massimo,True,56.88333333333333,4.0,7016,0.15028380000012476,True,
torino,1,3176,3492,astar_p999,False,22.786617056893437,p99.9,True,56.88333333333333,4.0,20474,0.49941930000022694,True,
